num_correct,num_samples,loss,client_id,round_number
1,372,4.131080865859985,f0001_41,0
0,316,4.1352893829345705,f0005_26,0
1,340,4.1349170207977295,f0009_06,0
0,297,4.132660293579102,f0013_38,0
1,382,4.13340957959493,f0017_07,0
1,364,4.132250865300496,f0002_01,0
1,342,4.130959113438924,f0006_12,0
1,393,4.133275985717773,f0010_18,0
1,341,4.131910006205241,f0014_19,0
1,345,4.13006591796875,f0018_13,0
1,358,4.131266832351685,f0003_42,0
0,338,4.131905237833659,f0007_14,0
1,383,4.128343820571899,f0011_13,0
1,333,4.130714098612468,f0015_48,0
0,340,4.1302675406138105,f0019_38,0
1,344,4.13472048441569,f0000_14,0
1,284,4.135368347167969,f0004_09,0
1,377,4.13328488667806,f0008_45,0
1,278,4.13502950668335,f0012_39,0
1,281,4.133630084991455,f0016_39,0
19,372,3.8174370527267456,f0001_41,1
22,316,3.786208963394165,f0005_26,1
26,340,3.8156587282816568,f0009_06,1
18,297,3.808740997314453,f0013_38,1
22,382,3.818931301434835,f0017_07,1
21,358,3.8242181142171225,f0003_42,1
23,338,3.9046342770258584,f0007_14,1
24,383,3.965778390566508,f0011_13,1
19,333,3.816372593243917,f0015_48,1
17,340,3.7977575858434043,f0019_38,1
23,344,3.8127207358678183,f0000_14,1
21,284,3.8083379745483397,f0004_09,1
20,377,3.808136979738871,f0008_45,1
17,278,3.8676640033721923,f0012_39,1
17,281,3.781271457672119,f0016_39,1
25,364,3.802192449569702,f0002_01,1
19,342,3.8081193367640176,f0006_12,1
25,393,4.0048089027404785,f0010_18,1
18,341,3.8438939650853476,f0014_19,1
22,345,3.931445519129435,f0018_13,1
23,344,3.6806785662968955,f0000_14,2
21,284,3.6786357879638674,f0004_09,2
20,377,3.676987965901693,f0008_45,2
17,278,3.791288471221924,f0012_39,2
17,281,3.637498378753662,f0016_39,2
19,372,3.6959060033162436,f0001_41,2
22,316,3.637271547317505,f0005_26,2
26,340,3.6829187870025635,f0009_06,2
18,297,3.6809897422790527,f0013_38,2
22,382,3.6938175360361734,f0017_07,2
25,364,3.667179306348165,f0002_01,2
19,342,3.6795586744944253,f0006_12,2
25,393,4.01492486681257,f0010_18,2
18,341,3.743837277094523,f0014_19,2
22,345,3.8871131340662637,f0018_13,2
21,358,3.703911383946737,f0003_42,2
23,338,3.8410071531931558,f0007_14,2
24,383,3.941291173299154,f0011_13,2
19,333,3.6963607470194497,f0015_48,2
17,340,3.636743664741516,f0019_38,2
30,372,3.664485494295756,f0001_41,3
42,316,3.581284761428833,f0005_26,3
33,340,3.656343619028727,f0009_06,3
30,297,3.6436809062957765,f0013_38,3
29,382,3.664204478263855,f0017_07,3
43,344,3.6442877848943076,f0000_14,3
36,284,3.6316608428955077,f0004_09,3
37,377,3.6323077281316123,f0008_45,3
39,278,3.752188539505005,f0012_39,3
29,281,3.587913703918457,f0016_39,3
42,364,3.625153064727783,f0002_01,3
29,342,3.646259347597758,f0006_12,3
41,393,3.9948902130126953,f0010_18,3
37,341,3.7081777254740396,f0014_19,3
46,345,3.8515626589457193,f0018_13,3
42,358,3.6579670508702598,f0003_42,3
39,338,3.8184168338775635,f0007_14,3
39,383,3.92174239953359,f0011_13,3
44,333,3.659869909286499,f0015_48,3
36,340,3.592193841934204,f0019_38,3
